school,gender,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,Salc,subject,G3_d
GP,F,18,U,GT3,A,higher education,higher education,at_home,teacher,course,mother,2,2,0,yes,no,no,no,yes,yes,no,no,High,Medium,High,Very Low,Very Low,Medium,6,5,6,6,Extremely Low,math,F
GP,F,17,U,GT3,T,primary education (4th grade),primary education (4th grade),at_home,other,course,father,1,2,0,no,yes,no,no,no,yes,yes,no,Very High,Medium,Medium,Very Low,Very Low,Medium,4,5,5,6,Extremely Low,math,F
GP,F,15,U,LE3,T,primary education (4th grade),primary education (4th grade),at_home,other,other,mother,1,2,3,yes,no,yes,no,yes,yes,yes,no,High,Medium,Low,Low,Medium,Medium,10,7,8,10,Medium Low,math,D
GP,F,15,U,GT3,T,higher education,5th to 9th grade,health,services,home,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,yes,Medium,Low,Low,Very Low,Very Low,Very High,2,15,14,15,Extremely Low,math,B
GP,F,16,U,GT3,T,secondary education,secondary education,other,other,home,father,1,2,0,no,yes,yes,no,yes,yes,no,no,High,Medium,Low,Very Low,Low,Very High,4,6,10,10,Very Low,math,D
GP,M,16,U,LE3,T,higher education,secondary education,services,other,reputation,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,Very High,High,Low,Very Low,Low,Very High,10,15,15,15,Very Low,math,B
GP,M,16,U,LE3,T,5th to 9th grade,5th to 9th grade,other,other,home,mother,1,2,0,no,no,no,no,yes,yes,yes,no,High,High,High,Very Low,Very Low,Medium,0,12,12,11,Extremely Low,math,D
GP,F,17,U,GT3,A,higher education,higher education,other,teacher,home,mother,2,2,0,yes,yes,no,no,yes,yes,no,no,High,Very Low,High,Very Low,Very Low,Very Low,6,6,5,6,Extremely Low,math,F
GP,M,15,U,LE3,A,secondary education,5th to 9th grade,services,other,home,mother,1,2,0,no,yes,yes,no,yes,yes,yes,no,High,Low,Low,Very Low,Very Low,Very Low,0,16,18,19,Extremely Low,math,A
GP,M,15,U,GT3,T,secondary education,higher education,other,other,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,Very High,Very High,Very Low,Very Low,Very Low,Very High,0,14,15,15,Extremely Low,math,B
